german,english
ich,I
sie,she
das,the
ist,is
nicht,not
es,it
und,and
der,the
wir,we
was,What
zu,to
er,he
ein,a
in,in
ja,Yes
mir,me
mit,with
wie,How
den,the
mich,me
auf,on
dass,that
aber,but
eine,one
so,so
hat,has
hier,here
haben,have
für,for
sind,are
war,was
von,from
wenn,if
dich,you
ihr,her
habe,have
an,at
bin,am
noch,still
nur,only
dir,you
sich,itself
einen,a
uns,us
hast,have
dem,dem
kann,can
gut,good
auch,also
schon,already
als,as
sein,be
mal,just
jetzt,now
ihn,him
dann,then
aus,out of
meine,mine
um,around
im,in the
wird,becomes
bist,are
doch,but
alles,everything
weiß,white
keine,no
oder,or
nach,after
s,s
nichts,nothing
muss,must
werden,become
ihnen,them
geht,goes
wo,where
etwas,something
oh,Oh
mehr,more
bei,at
bitte,please
hab,have
warum,Why
vor,before
los,Come on
können,can
wieder,again
sagen,say
danke,Thanks
sehr,very
